City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ambovombe,-25.1667,46.0833,72.43,94,61,3.65,MG,1730072917
1,saint-philippe,-21.3585,55.7679,75.34,87,85,4.5,RE,1730072919
2,hithadhoo,-0.6,73.0833,81.27,78,72,11.16,MV,1730072920
3,wenling,28.3669,121.36,61.56,89,100,8.39,CN,1730072921
4,washim,20.1,77.15,67.24,66,89,2.75,IN,1730072922
5,bardai,11.65,7.2333,69.96,31,7,8.21,NG,1730072923
6,olonkinbyen,70.9221,-8.7187,22.6,81,100,47.56,SJ,1730072924
7,rongelap,11.1635,166.8941,83.43,78,77,8.16,MH,1730072926
8,brooks,50.5834,-111.8851,60.78,36,33,17.27,CA,1730072683
9,bredasdorp,-34.5322,20.0403,59.79,90,100,23.13,ZA,1730072928
10,grytviken,-54.2811,-36.5092,28.45,82,60,2.08,GS,1730072929
11,iqaluit,63.7506,-68.5145,20.93,85,75,10.36,CA,1730072686
12,villa regina,-39.1,-67.0667,78.96,8,4,10.38,AR,1730072931
13,tura,25.5198,90.2201,69.64,86,0,3.87,IN,1730072933
14,yellowknife,62.456,-114.3525,31.41,99,100,10.36,CA,1730072934
15,pacific grove,36.6177,-121.9166,66.65,91,40,9.22,US,1730072492
16,prince george,53.9166,-122.753,47.64,88,100,3.44,CA,1730072936
17,hammerfest,70.6634,23.6821,41.45,93,100,3.44,NO,1730072937
18,qaqortoq,60.7167,-46.0333,32.56,99,100,3.74,GL,1730072939
19,bethel,41.3712,-73.414,46.62,46,0,3.44,US,1730072931
20,waitangi,-43.9535,-176.5597,54.82,98,94,8.99,NZ,1730072941
21,adamstown,-25.066,-130.1015,71.47,80,7,10.16,PN,1730072943
22,jamestown,42.097,-79.2353,46.04,57,100,5.75,US,1730072944
23,georgetown,5.4112,100.3354,78.73,93,20,3.44,MY,1730072395
24,isafjordur,66.0755,-23.124,25.39,64,33,8.21,IS,1730072947
25,punta arenas,-53.15,-70.9167,44.71,76,75,31.07,CL,1730072948
26,porto novo,6.4965,2.6036,78.13,90,26,4.21,BJ,1730072949
27,ancud,-41.8697,-73.8203,48.78,82,11,3.71,CL,1730072950
28,edinburgh of the seven seas,-37.0676,-12.3116,60.67,92,100,32.59,SH,1730072952
29,sisimiut,66.9395,-53.6735,17.55,60,100,6.78,GL,1730072953
30,port-aux-francais,-49.35,70.2167,36.41,72,100,29.66,TF,1730072954
31,bouna,9.2667,-3.0,77.81,72,59,2.04,CI,1730072955
32,shimanovsk,52.0,127.7,29.34,80,40,5.06,RU,1730072956
33,sur,22.5667,59.5289,83.16,43,1,4.14,OM,1730072958
34,mchinji,-13.7984,32.8802,75.13,46,63,7.96,MW,1730072959
35,puerto ayora,-0.7393,-90.3518,67.55,98,85,5.99,EC,1730072960
36,udomlya,57.8794,34.9925,38.59,97,34,4.72,RU,1730072962
37,luba,3.4568,8.5547,79.39,87,79,3.94,GQ,1730072963
38,belmonte,-15.8631,-38.8828,76.71,79,83,7.67,BR,1730072965
39,infantes,38.7367,-3.0122,43.38,84,84,11.36,ES,1730072966
40,laguna,38.421,-121.4238,76.1,56,20,12.66,US,1730072967
41,yakeshi,49.2833,120.7333,29.43,87,35,3.38,CN,1730072969
42,manokwari,-0.8667,134.0833,81.79,78,100,8.23,ID,1730072970
43,port elizabeth,-33.918,25.5701,64.31,60,0,16.11,ZA,1730072678
44,ust-nera,64.5667,143.2,-3.08,98,91,4.09,RU,1730072972
45,lawton,34.6087,-98.3903,84.11,42,0,10.36,US,1730072914
46,lata,40.1629,-8.3327,46.44,88,26,4.68,PT,1730072975
47,lihue,21.9789,-159.3672,83.79,71,40,17.27,US,1730072976
48,bilibino,68.0546,166.4372,14.5,89,100,3.76,RU,1730072977
49,waddan,29.1614,16.139,68.27,38,41,10.63,LY,1730072978
50,badger,64.8,-147.5333,13.35,83,75,5.75,US,1730072979
51,hadibu,12.65,54.0333,79.32,78,61,5.75,YE,1730072981
52,longyearbyen,78.2186,15.6401,31.84,100,40,2.3,SJ,1730072982
53,al kharijah,25.4514,30.5464,65.03,40,0,6.35,EG,1730072983
54,garbahaarrey,3.3289,42.2209,79.63,70,94,12.46,SO,1730072984
55,nova sintra,14.8667,-24.7167,78.55,77,98,20.92,CV,1730072986
56,touros,-5.1989,-35.4608,78.66,77,37,12.71,BR,1730072907
57,gaiman,-43.2897,-65.4929,61.0,31,0,11.03,AR,1730072988
58,pontes e lacerda,-15.2261,-59.3353,74.26,96,98,2.42,BR,1730072989
59,anadyr,64.75,177.4833,28.9,74,75,26.84,RU,1730072990
60,papatowai,-46.5619,169.4708,48.74,78,95,10.29,NZ,1730072991
61,puerto natales,-51.7236,-72.4875,45.37,90,100,19.48,CL,1730072701
62,saipan,15.1355,145.701,81.3,94,75,9.22,MP,1730072994
63,bikenibeu village,1.3673,173.1241,81.5,69,100,9.69,KI,1730072995
64,blackmans bay,-43.0167,147.3167,53.73,59,20,4.0,AU,1730072996
65,aasiaat,68.7098,-52.8699,3.92,83,15,9.1,GL,1730072999
66,hasaki,35.7333,140.8333,66.47,89,100,14.34,JP,1730073001
67,st. john's,47.5649,-52.7093,42.15,84,20,13.8,CA,1730072811
68,invercargill,-46.4,168.35,52.02,74,95,7.0,NZ,1730073003
69,besisahar,28.2313,84.3761,63.32,68,12,4.9,NP,1730073005
70,nabire,-3.3667,135.4833,82.54,79,45,3.8,ID,1730073007
71,salekhard,66.53,66.6019,21.2,91,27,6.71,RU,1730073008
72,stanley,54.868,-1.6985,50.29,93,40,6.91,GB,1730073010
73,gheraesti,47.0167,26.8167,52.61,64,30,3.42,RO,1730073012
74,patacamaya,-17.2333,-67.9167,50.11,76,47,13.02,BO,1730073013
75,mendeleyevskiy,54.1528,37.5822,43.97,83,98,2.62,RU,1730073016
76,tiksi,71.6872,128.8694,5.49,94,100,4.88,RU,1730073017
77,college,64.8569,-147.8028,15.08,76,100,5.75,US,1730072807
78,hawaiian paradise park,19.5933,-154.9731,80.89,72,100,6.91,US,1730073020
79,port lincoln,-34.7333,135.8667,61.7,62,81,10.63,AU,1730073021
80,dunedin,-45.8742,170.5036,50.45,69,95,14.54,NZ,1730073022
81,grand baie,-20.0182,57.5802,74.44,93,74,7.87,MU,1730073024
82,sinjai,-5.1241,120.253,85.03,64,7,5.86,ID,1730073025
83,masterton,-40.9597,175.6575,50.14,96,53,6.8,NZ,1730073026
84,ilula,-7.6766,36.0366,63.57,90,23,1.7,TZ,1730073027
85,new norfolk,-42.7826,147.0587,55.92,44,45,11.5,AU,1730073028
86,tsiombe,-25.3,45.4833,74.41,90,80,8.61,MG,1730073029
87,shushtar,32.0455,48.8567,64.36,18,0,1.68,IR,1730073031
88,lompoc,34.6391,-120.4579,64.81,81,0,18.99,US,1730073032
89,kodiak,57.79,-152.4072,44.11,57,0,3.44,US,1730072912
90,natal,-5.795,-35.2094,79.02,83,40,9.22,BR,1730073034
91,matoury,4.8483,-52.3317,80.56,78,0,3.44,GF,1730073035
92,ushuaia,-54.8,-68.3,44.26,70,75,1.14,AR,1730072871
93,myeik,12.4333,98.6,80.31,85,100,6.08,MM,1730073018
94,gouyave,12.1646,-61.7296,83.17,79,20,6.91,GD,1730073039
95,carnarvon,-24.8667,113.6333,79.23,33,0,16.55,AU,1730073040
96,illizi,26.4833,8.4667,81.03,19,39,9.24,DZ,1730073041
97,port mathurin,-19.6833,63.4167,74.93,76,4,13.82,MU,1730073042
98,tahlequah,35.9154,-94.97,73.62,53,0,6.91,US,1730073044
99,faya-largeau,17.9257,19.1043,73.27,18,4,17.2,TD,1730073046
100,iglino,54.8324,56.4126,32.86,89,93,5.06,RU,1730073047
101,mar del plata,-38.0023,-57.5575,69.82,49,0,5.75,AR,1730072817
102,banamba,13.55,-7.45,81.55,43,53,6.35,ML,1730073049
103,alto araguaia,-17.3147,-53.2153,73.22,81,67,0.96,BR,1730073051
104,timbuktu,16.7735,-3.0074,88.97,17,31,8.81,ML,1730073052
105,east porterville,36.0574,-118.9757,73.22,35,0,5.75,US,1730073053
106,kannur,11.8675,75.3576,74.91,91,52,4.61,IN,1730073054
107,abepura,-2.6333,140.5833,79.61,78,20,6.91,ID,1730073055
108,santa elena de uairen,4.6167,-61.1333,72.27,73,100,2.64,VE,1730073056
109,lucapa,-8.4192,20.7447,67.24,92,63,1.07,AO,1730073058
110,reyes,-14.3167,-67.3833,73.18,71,100,2.48,BO,1730073060
111,gitarama,-2.0744,29.7567,57.11,92,62,3.15,RW,1730073061
112,quelimane,-17.8786,36.8883,78.75,88,0,13.0,MZ,1730073062
113,talnakh,69.4865,88.3972,10.49,95,100,11.41,RU,1730073063
114,ilulissat,69.2167,-51.1,10.42,48,3,4.61,GL,1730073064
115,adh dhibiyah,24.5014,45.9686,66.07,61,25,8.59,SA,1730073066
116,altay,47.8667,88.1167,38.35,63,99,6.73,CN,1730073067
117,acapulco de juarez,16.8634,-99.8901,87.62,70,0,9.22,MX,1730072797
118,kaa-khem,51.6833,94.7333,36.75,83,99,4.09,RU,1730073069
119,nar'yan-mar,67.6713,53.087,31.32,91,81,9.66,RU,1730073070
120,turpan,42.9333,89.1667,57.56,38,54,3.15,CN,1730073071
121,avarua,-21.2078,-159.775,77.05,61,75,12.66,CK,1730073073
122,qamdo,31.1667,97.2333,31.44,52,0,3.8,CN,1730073074
123,homer,59.6425,-151.5483,42.69,62,0,0.0,US,1730073075
124,uckange,49.303,6.1492,54.72,100,1,1.88,FR,1730073076
125,latehar,23.75,84.5,71.51,90,18,1.61,IN,1730073077
126,ochakiv,46.6128,31.5498,58.55,83,19,14.23,UA,1730073079
127,gumla,23.05,84.55,69.91,93,69,2.93,IN,1730073080
128,grootfontein,-19.5667,18.1167,63.77,13,0,7.27,NA,1730073082
129,aioun,16.6614,-9.6149,87.55,19,98,8.97,MR,1730073083
130,albany,42.6001,-73.9662,47.44,63,58,5.21,US,1730073084
131,west island,-12.1568,96.8225,78.78,89,100,9.22,CC,1730073085
132,yaren,-0.5472,166.916,82.74,76,63,12.66,NR,1730073087
133,pocos de caldas,-21.7878,-46.5614,66.24,95,82,3.02,BR,1730073088
134,whitehorse,60.7161,-135.0538,25.02,73,75,6.91,CA,1730072835
135,harper,4.375,-7.7169,77.23,89,97,8.23,LR,1730073091
136,vorgashor,67.5833,63.95,28.06,92,74,5.44,RU,1730073092
137,mizdah,31.4451,12.9801,64.98,53,44,11.7,LY,1730073093
138,al jubayl,27.0112,49.6583,79.18,44,0,16.71,SA,1730073094
139,ayaviri,-14.8864,-70.5889,51.49,63,76,4.25,PE,1730073095
140,palikir - national government center,6.9248,158.1611,90.34,70,20,5.75,FM,1730073097
141,rabigh,22.7986,39.0349,82.11,71,0,5.35,SA,1730073098
142,geraldton,-28.7667,114.6,77.41,22,0,19.57,AU,1730073099
143,lieksa,63.3167,30.0167,45.1,93,100,19.17,FI,1730073100
144,luderitz,-26.6481,15.1594,56.64,66,54,12.19,NA,1730073102
145,puerto cabezas,14.0351,-83.3888,80.56,94,40,4.61,NI,1730073103
146,orange walk,17.8333,-88.8333,73.4,97,100,2.68,BZ,1730073104
147,lutjenburg,54.2919,10.5895,45.88,87,70,7.45,DE,1730073105
148,minas de marcona,-15.2119,-75.1103,57.51,76,4,11.14,PE,1730073106
149,phan rang-thap cham,11.5667,108.9833,77.09,87,100,5.46,VN,1730073108
150,vilyuchinsk,52.9306,158.4028,37.67,67,47,4.9,RU,1730073109
151,chonchi,-42.6128,-73.8092,45.34,91,24,1.1,CL,1730073110
152,petropavlovsk-kamchatsky,53.0452,158.6483,36.19,56,75,4.47,RU,1730073111
153,san patricio,28.017,-97.5169,82.35,50,0,10.0,US,1730073112
154,aykhal,66.0,111.5,-5.24,100,93,5.12,RU,1730073114
155,udachny,66.4167,112.4,-2.56,99,95,3.69,RU,1730073116
156,kem',64.9555,34.5793,40.03,93,59,14.58,RU,1730073117
157,auki,-8.7676,160.7034,87.71,61,62,2.15,SB,1730073118
158,sechura,-5.5569,-80.8222,66.97,77,46,16.55,PE,1730073119
159,bodaybo,57.8506,114.1933,29.43,98,100,1.7,RU,1730073120
160,baker city,44.7749,-117.8344,51.51,66,100,9.22,US,1730073089
161,dudinka,69.4058,86.1778,12.83,94,100,17.4,RU,1730073123
162,yuzhno-kurilsk,44.0306,145.8556,53.46,91,100,16.67,RU,1730073124
163,jiagedaqi,50.4167,124.1167,28.81,82,32,2.26,CN,1730073126
164,sandnessjoen,66.0217,12.6316,44.83,62,98,29.3,NO,1730073128
165,ribeira grande,38.5167,-28.7,62.78,83,38,3.0,PT,1730073129
166,margaret river,-33.95,115.0667,61.86,55,7,6.89,AU,1730073130
167,chandler,33.3062,-111.8412,95.05,14,75,9.22,US,1730073131
168,maslova pristan',50.4587,36.7408,45.75,85,93,4.9,RU,1730073132
169,kapuskasing,49.4169,-82.4331,30.29,55,40,3.44,CA,1730073134
170,viedma,-40.8135,-62.9967,61.03,52,93,9.53,AR,1730073085
171,tarko-sale,64.9225,77.785,25.52,96,100,9.48,RU,1730073136
172,tulsipur,28.131,82.2973,68.05,88,0,3.67,NP,1730073138
173,shingu,33.7333,135.9833,69.75,82,100,1.83,JP,1730073140
174,xichang,27.8964,102.2634,57.6,81,100,2.55,CN,1730073141
175,guerrero negro,27.9769,-114.0611,70.11,68,10,15.61,MX,1730073142
176,kirakira,-10.4544,161.9205,83.95,73,100,8.05,SB,1730073143
177,conde,-7.2597,-34.9075,78.26,83,40,5.75,BR,1730073144
178,nemuro,43.3236,145.575,55.53,83,99,16.31,JP,1730073145
179,pembroke,45.8168,-77.1162,37.18,49,100,4.29,CA,1730073147
180,tofol,5.3248,163.0078,87.58,70,75,6.91,FM,1730073148
181,kokopo,-4.352,152.2633,86.23,64,41,8.28,PG,1730073149
182,pak chong,14.708,101.4161,78.82,91,99,2.95,TH,1730073150
183,shilin,24.8188,103.3324,51.3,84,11,1.95,CN,1730073152
184,bahadurganj,26.2667,87.8167,73.58,87,0,4.18,IN,1730073154
185,guajara mirim,-10.7828,-65.3394,73.96,99,100,1.07,BR,1730073156
186,dakhla,23.6848,-15.958,66.69,87,3,16.26,EH,1730073157
187,tazacorte,28.629,-17.9293,68.97,85,75,17.27,ES,1730073158
188,sinabang,2.4803,96.3801,78.94,83,76,1.88,ID,1730073160
189,neryungri,56.6709,124.6491,17.4,95,95,2.33,RU,1730073161
190,tazovsky,67.4667,78.7,26.37,97,100,7.92,RU,1730073162
191,sovetskiy,61.3614,63.5842,30.72,88,100,4.63,RU,1730073164
192,arraial do cabo,-22.9661,-42.0278,72.19,72,99,11.41,BR,1730073165
193,sao tome,0.3365,6.7273,78.49,88,81,10.13,ST,1730073167
194,amuntai,-2.4177,115.2494,81.52,70,100,2.17,ID,1730073168
195,constantia,44.1833,28.65,47.08,86,6,11.1,RO,1730073169
196,itaituba,-4.2761,-55.9836,83.34,35,82,1.74,BR,1730073170
197,kuta,-8.7233,115.1723,82.35,83,20,2.3,ID,1730073171
198,verkhnevilyuysk,63.4453,120.3167,11.26,95,100,5.48,RU,1730073173
199,flin flon,54.7682,-101.865,35.44,60,75,9.22,CA,1730073174
200,dryden,49.7833,-92.7503,39.49,81,100,8.05,CA,1730073175
201,enewetak,11.3474,162.3373,83.1,77,65,7.92,MH,1730073176
202,luau,-10.7073,22.2247,65.59,83,56,3.31,AO,1730073177
203,rio grande,-32.035,-52.0986,61.25,72,27,9.55,BR,1730073178
204,floro,61.5996,5.0328,42.76,87,75,8.05,NO,1730073180
205,nogliki,51.8333,143.1667,34.83,54,13,5.91,RU,1730073181
206,nyuzen,36.9333,137.5,59.29,91,100,3.98,JP,1730073182
207,westport,41.1415,-73.3579,49.19,47,51,6.31,US,1730073183
208,klyuchi,52.2667,79.1667,42.01,70,99,9.95,RU,1730073184
209,zimmerman,45.4433,-93.59,57.63,50,0,3.44,US,1730073185
210,east london,-33.0153,27.9116,62.74,46,3,7.38,ZA,1730073188
211,fort madison,40.6298,-91.3151,59.61,38,0,5.75,US,1730073189
212,atafu village,-8.5421,-172.5159,82.02,73,100,13.44,TK,1730073190
213,ad darb,17.7229,42.2526,86.27,66,87,0.69,SA,1730073191
214,plyeshchanitsy,54.4222,27.8331,43.86,88,32,5.48,BY,1730073192
215,kenora,49.8167,-94.4337,45.57,61,100,12.66,CA,1730073194
216,port augusta,-32.5,137.7667,70.09,28,0,12.12,AU,1730073195
217,severnoye,56.3491,78.3619,38.21,87,100,2.71,RU,1730073196
218,carutapera,-1.195,-46.02,78.66,76,36,10.8,BR,1730073197
219,lyubim,58.3625,40.6843,33.73,95,10,3.89,RU,1730073198
220,broken hill,-31.95,141.4333,67.95,25,2,17.63,AU,1730073199
221,phalodi,27.1333,72.3667,82.38,27,8,8.46,IN,1730073201
222,papao,-17.75,-149.55,82.08,75,68,14.03,PF,1730073202
223,alice springs,-23.7,133.8833,83.75,21,0,17.27,AU,1730073203
224,sao vicente,-23.9631,-46.3919,65.95,26,100,3.0,BR,1730073143
225,hamilton,39.1834,-84.5333,53.04,58,0,1.01,US,1730073205
226,lusaka,-15.4067,28.2871,68.97,76,99,9.75,ZM,1730073207
227,villa gesell,-37.2639,-56.973,59.9,72,85,14.83,AR,1730073001
228,gorom-gorom,14.4439,-0.2361,85.06,18,11,9.19,BF,1730073209
229,klaksvik,62.2266,-6.589,41.58,69,96,7.36,FO,1730073210
230,coquimbo,-29.9533,-71.3436,56.93,77,40,9.22,CL,1730073211
231,gadzhiyevo,69.2551,33.3362,42.49,87,100,22.28,RU,1730073213
232,zheshart,62.0731,49.5733,35.91,76,97,1.74,RU,1730073214
233,kingston,17.997,-76.7936,85.15,79,40,11.5,JM,1730073215
234,port alfred,-33.5906,26.891,63.1,48,20,14.72,ZA,1730073216
235,dongning,44.0622,131.1207,39.06,64,5,4.99,CN,1730073217
236,laojunmiao,39.8333,97.7333,40.84,35,2,4.9,CN,1730073219
237,thompson,55.7435,-97.8558,28.56,74,100,9.22,CA,1730073220
238,hermanus,-34.4187,19.2345,60.8,88,98,19.24,ZA,1730073221
239,rzhaksa,52.1338,42.0264,44.33,81,100,4.63,RU,1730073222
240,carbonear,47.7332,-53.2148,42.35,78,14,16.89,CA,1730073223
241,krasnozerskoye,53.9828,79.2374,37.49,81,100,7.54,RU,1730073224
242,barakani,-12.1356,44.4317,78.15,82,3,7.96,KM,1730073226
243,saint-pierre,-21.3393,55.4781,73.08,78,0,1.14,RE,1730073227
244,holualoa,19.6228,-155.9522,80.44,81,40,12.66,US,1730073228
